effective_date,exclusions,inclusions,count_before,count_after,application_issues,source
2014-08-28,0,500,0,500,0,OFFICIAL_FULL_SNAPSHOT
2014-09-19,15,15,500,500,0,ind_prs20082014.pdf
2014-11-28,1,1,500,500,0,ind_prs18112014.pdf
2015-02-02,3,3,500,500,0,ind_prs21012015.pdf;ind_prs23012015.pdf
2015-03-24,1,1,500,500,0,ind_prs18032015_2.pdf
2015-03-27,15,15,500,500,0,ind_prs18032015_2.pdf;ind_prs20022015.pdf
2015-05-29,2,2,500,500,0,ind_prs29042015.pdf
2015-06-15,1,1,500,500,0,ind_prs05062015.pdf
2015-09-28,16,16,500,500,0,ind_prs12082015.pdf;ind_prs24082015.pdf
2015-10-19,1,1,500,500,0,ind_prs18092015.pdf
2015-12-14,2,2,500,500,0,ind_prs07122015.pdf
2016-01-18,1,1,500,500,0,ind_prs11012016.pdf
2016-04-01,75,76,500,501,0,ind_prs22022016_2.pdf
2016-04-29,3,3,501,501,0,ind_prs22042016.pdf
2016-09-30,25,25,501,501,0,ind_prs12082016.pdf
2016-11-15,1,1,501,501,0,ind_prs17102016.pdf
2017-01-23,4,4,501,501,0,ind_prs16012017.pdf
2017-03-16,3,3,501,501,0,ind_prs07032017.pdf
2017-03-31,22,22,501,501,0,ind_prs16022017.pdf
2017-05-26,3,3,501,501,0,ind_prs27042017.pdf
2017-06-23,1,1,501,501,0,ind_prs15062017.pdf
2017-09-05,1,1,501,501,0,ind_prs29082017.pdf
2017-09-29,24,24,501,501,0,ind_prs28082017.pdf
2017-10-30,1,1,501,501,0,ind_prs16102017.pdf
2017-11-13,2,2,501,501,0,ind_prs03112017.pdf
2017-11-20,1,1,501,501,0,ind_prs10112017.pdf
2018-02-05,4,4,501,501,0,ind_prs08012018.pdf
2018-03-13,1,1,501,501,0,ind_prs06032018.pdf
2018-04-02,24,24,501,501,0,ind_prs21022018.pdf
2018-06-29,4,4,501,501,0,ind_prs20062018.pdf;ind_prs24052018.pdf
2018-08-08,1,1,501,501,0,ind_prs01082018.pdf
2018-09-28,26,26,501,501,0,ind_prs28082018.pdf;ind_prs31082018.pdf
2018-12-28,5,5,501,501,0,ind_prs14122018.pdf
2019-01-28,2,2,501,501,0,ind_prs21012019.pdf
2019-03-29,25,25,501,501,0,ind_prs25022019.pdf
2019-04-15,1,1,501,501,0,ind_prs08042019.pdf
2019-06-28,2,2,501,501,0,ind_prs13062019.pdf
2019-09-24,1,1,501,501,0,ind_prs17092019_1.pdf
2019-09-27,22,22,501,501,0,ind_prs17092019.pdf;ind_prs28082019.pdf
2019-12-26,3,3,501,501,0,ind_prs18122019.pdf
2019-12-27,9,9,501,501,0,ind_prs16122019.pdf;ind_prs19122019.pdf
2020-01-16,1,1,501,501,0,ind_prs09012020.pdf
2020-03-19,1,1,501,501,0,ind_prs19032020.pdf
2020-06-26,25,25,501,501,0,ind_prs10062020.pdf
2020-07-31,1,1,501,501,0,ind_prs02072020_1.pdf
2020-09-14,1,1,501,501,0,ind_prs07092020.pdf
2020-09-25,21,21,501,501,0,ind_prs07092020.pdf;ind_prs20082020.pdf
2020-11-02,1,1,501,501,0,ind_prs26102020.pdf
2020-11-25,1,1,501,501,0,ind_prs18112020.pdf
2021-03-31,24,24,501,501,0,ind_prs23022021.pdf
2021-04-29,2,2,501,501,0,ind_prs22042021.pdf
2021-06-30,1,1,501,501,0,ind_prs15062021.pdf
2021-09-30,22,22,501,501,0,ind_prs15092021.pdf
2021-10-29,1,1,501,501,0,ind_prs22102021.pdf
2022-03-31,32,32,501,501,0,ind_prs24022022_1.pdf
2022-04-07,1,1,501,501,0,ind_prs06042022.pdf
2022-04-12,1,1,501,501,0,ind_prs05042022_1.pdf
2022-05-04,1,1,501,501,0,ind_prs05042022.pdf
2022-05-31,1,1,501,501,0,ind_prs24052022.pdf
2022-08-08,3,3,501,501,0,ind_prs11072022.pdf
2022-09-30,19,19,501,501,0,ind_prs01092022.pdf;ind_prs16092022.pdf
2022-12-30,4,4,501,501,0,ind_prs06122022.pdf;ind_prs22122022.pdf
2023-02-17,1,1,501,501,0,ind_prs09022023_1.pdf
2023-03-31,20,20,501,501,0,ind_prs17022023_1.pdf
